 

stn;time;rre150z0
CGI;202203191530;0.0
CGI;202203191540;0.0
CGI;202203191550;0.0
CGI;202203191600;0.0
CGI;202203191610;0.0
CGI;202203191620;0.0
CGI;202203191630;0.0
CGI;202203191640;0.0
CGI;202203191650;0.0
CGI;202203191700;0.0
CGI;202203191710;0.0
CGI;202203191720;0.0
CGI;202203191730;0.0
CGI;202203191740;0.0
CGI;202203191750;0.0
CGI;202203191800;0.0
CGI;202203191810;0.0
CGI;202203191820;0.0
CGI;202203191830;0.0
CGI;202203191840;0.0
CGI;202203191850;0.0
CGI;202203191900;0.0
CGI;202203191910;0.0
CGI;202203191920;0.0
CGI;202203191930;0.0
CGI;202203191940;0.0
CGI;202203191950;0.0
CGI;202203192000;0.0
CGI;202203192010;0.0
CGI;202203192020;0.0
CGI;202203192030;0.0
CGI;202203192040;0.0
CGI;202203192050;0.0
CGI;202203192100;0.0
CGI;202203192110;0.0
CGI;202203192120;0.0
CGI;202203192130;0.0
CGI;202203192140;0.0
CGI;202203192150;0.0
CGI;202203192200;0.0
CGI;202203192210;0.0
CGI;202203192220;0.0
CGI;202203192230;0.0
CGI;202203192240;0.0
CGI;202203192250;0.0
CGI;202203192300;0.0
CGI;202203192310;0.0
CGI;202203192320;0.0
CGI;202203192330;0.0
CGI;202203192340;0.0
CGI;202203192350;0.0
CGI;202203200000;0.0
CGI;202203200010;0.0
CGI;202203200020;0.0
CGI;202203200030;0.0
CGI;202203200040;0.0
CGI;202203200050;0.0
CGI;202203200100;0.0
CGI;202203200110;0.0
CGI;202203200120;0.0
CGI;202203200130;0.0
CGI;202203200140;0.0
CGI;202203200150;0.0
CGI;202203200200;0.0
CGI;202203200210;0.0
CGI;202203200220;0.0
CGI;202203200230;0.0
CGI;202203200240;0.0
CGI;202203200250;0.0
CGI;202203200300;0.0
CGI;202203200310;0.0
CGI;202203200320;0.0
CGI;202203200330;0.0
CGI;202203200340;0.0
CGI;202203200350;0.0
CGI;202203200400;0.0
CGI;202203200410;0.0
CGI;202203200420;0.0
CGI;202203200430;0.0
CGI;202203200440;0.0
CGI;202203200450;0.0
CGI;202203200500;0.0
CGI;202203200510;0.0
CGI;202203200520;0.0
CGI;202203200530;0.0
CGI;202203200540;0.0
CGI;202203200550;0.0
CGI;202203200600;0.0
CGI;202203200610;0.0
CGI;202203200620;0.0
CGI;202203200630;0.0
CGI;202203200640;0.0
CGI;202203200650;0.0
CGI;202203200700;0.0
CGI;202203200710;0.0
CGI;202203200720;0.0
CGI;202203200730;0.0
CGI;202203200740;0.0
CGI;202203200750;0.0
CGI;202203200800;0.0
CGI;202203200810;0.0
CGI;202203200820;0.0
CGI;202203200830;0.0
CGI;202203200840;0.0
CGI;202203200850;0.0
CGI;202203200900;0.0
CGI;202203200910;0.0
CGI;202203200920;0.0
CGI;202203200930;0.0
CGI;202203200940;0.0
CGI;202203200950;0.0
CGI;202203201000;0.0
CGI;202203201010;0.0
CGI;202203201020;0.0
CGI;202203201030;0.0
CGI;202203201040;0.0
CGI;202203201050;0.0
CGI;202203201100;0.0
CGI;202203201110;0.0
CGI;202203201120;0.0
CGI;202203201130;0.0
CGI;202203201140;0.0
CGI;202203201150;0.0
CGI;202203201200;0.0
CGI;202203201210;0.0
CGI;202203201220;0.0
CGI;202203201230;0.0
CGI;202203201240;0.0
CGI;202203201250;0.0
CGI;202203201300;0.0
CGI;202203201310;0.0
CGI;202203201320;0.0
CGI;202203201330;0.0
CGI;202203201340;0.0
CGI;202203201350;0.0
CGI;202203201400;0.0
CGI;202203201410;0.0
CGI;202203201420;0.0
CGI;202203201430;0.0
CGI;202203201440;0.0
CGI;202203201450;0.0
CGI;202203201500;0.0
CGI;202203201510;0.0
CGI;202203201520;0.0
CGI;202203201530;0.0
CGI;202203201540;0.0
CGI;202203201550;0.0
CGI;202203201600;0.0
CGI;202203201610;0.0
CGI;202203201620;0.0
CGI;202203201630;0.0
CGI;202203201640;0.0
CGI;202203201650;0.0
CGI;202203201700;0.0
CGI;202203201710;0.0
CGI;202203201720;0.0
CGI;202203201730;0.0
CGI;202203201740;0.0
CGI;202203201750;0.0
CGI;202203201800;0.0
CGI;202203201810;0.0
CGI;202203201820;0.0
CGI;202203201830;0.0
CGI;202203201840;0.0
CGI;202203201850;0.0
CGI;202203201900;0.0
CGI;202203201910;0.0
CGI;202203201920;0.0
CGI;202203201930;0.0
CGI;202203201940;0.0
CGI;202203201950;0.0
CGI;202203202000;0.0
CGI;202203202010;0.0
CGI;202203202020;0.0
CGI;202203202030;0.0
CGI;202203202040;0.0
CGI;202203202050;0.0
CGI;202203202100;0.0
CGI;202203202110;0.0
CGI;202203202120;0.0
CGI;202203202130;0.0
CGI;202203202140;0.0
CGI;202203202150;0.0
CGI;202203202200;0.0
CGI;202203202210;0.0
CGI;202203202220;0.0
CGI;202203202230;0.0
CGI;202203202240;0.0
CGI;202203202250;0.0
CGI;202203202300;0.0
CGI;202203202310;0.0
CGI;202203202320;0.0
CGI;202203202330;0.0
CGI;202203202340;0.0
CGI;202203202350;0.0
CGI;202203210000;0.0
CGI;202203210010;0.0
CGI;202203210020;0.0
CGI;202203210030;0.0
CGI;202203210040;0.0
CGI;202203210050;0.0
CGI;202203210100;0.0
CGI;202203210110;0.0
CGI;202203210120;0.0
CGI;202203210130;0.0
CGI;202203210140;0.0
CGI;202203210150;0.0
CGI;202203210200;0.0
CGI;202203210210;0.0
CGI;202203210220;0.0
CGI;202203210230;0.0
CGI;202203210240;0.0
CGI;202203210250;0.0
CGI;202203210300;0.0
CGI;202203210310;0.0
CGI;202203210320;0.0
CGI;202203210330;0.0
CGI;202203210340;0.0
CGI;202203210350;0.0
CGI;202203210400;0.0
CGI;202203210410;0.0
CGI;202203210420;0.0
CGI;202203210430;0.0
CGI;202203210440;0.0
CGI;202203210450;0.0
CGI;202203210500;0.0
CGI;202203210510;0.0
CGI;202203210520;0.0
CGI;202203210530;0.0
CGI;202203210540;0.0
CGI;202203210550;0.0
CGI;202203210600;0.0
CGI;202203210610;0.0
CGI;202203210620;0.0
CGI;202203210630;0.0
CGI;202203210640;0.0
CGI;202203210650;0.0
CGI;202203210700;0.0
CGI;202203210710;0.0
CGI;202203210720;0.0
CGI;202203210730;0.0
CGI;202203210740;0.0
CGI;202203210750;0.0
CGI;202203210800;0.0
CGI;202203210810;0.0
CGI;202203210820;0.0
CGI;202203210830;0.0
CGI;202203210840;0.0
CGI;202203210850;0.0
CGI;202203210900;0.0
CGI;202203210910;0.0
CGI;202203210920;0.0
CGI;202203210930;0.0
CGI;202203210940;0.0
CGI;202203210950;0.0
CGI;202203211000;0.0
CGI;202203211010;0.0
CGI;202203211020;0.0
CGI;202203211030;0.0
CGI;202203211040;0.0
CGI;202203211050;0.0
CGI;202203211100;0.0
CGI;202203211110;0.0
CGI;202203211120;0.0
CGI;202203211130;0.0
CGI;202203211140;0.0
CGI;202203211150;0.0
CGI;202203211200;0.0
CGI;202203211210;0.0
CGI;202203211220;0.0
CGI;202203211230;0.0
CGI;202203211240;0.0
CGI;202203211250;0.0
CGI;202203211300;0.0
CGI;202203211310;0.0
CGI;202203211320;0.0
CGI;202203211330;0.0
CGI;202203211340;0.0
CGI;202203211350;0.0
CGI;202203211400;0.0
CGI;202203211410;0.0
CGI;202203211420;0.0
CGI;202203211430;0.0
CGI;202203211440;0.0
CGI;202203211450;0.0
CGI;202203211500;0.0
CGI;202203211510;0.0
CGI;202203211520;0.0
CGI;202203211530;0.0
CGI;202203211540;0.0
CGI;202203211550;0.0
CGI;202203211600;0.0
CGI;202203211610;0.0
CGI;202203211620;0.0
CGI;202203211630;0.0
CGI;202203211640;0.0
CGI;202203211650;0.0
CGI;202203211700;0.0
CGI;202203211710;0.0
CGI;202203211720;0.0
CGI;202203211730;0.0
CGI;202203211740;0.0
CGI;202203211750;0.0
CGI;202203211800;0.0
CGI;202203211810;0.0
CGI;202203211820;0.0
CGI;202203211830;0.0
CGI;202203211840;0.0
CGI;202203211850;0.0
CGI;202203211900;0.0
CGI;202203211910;0.0
CGI;202203211920;0.0
CGI;202203211930;0.0
CGI;202203211940;0.0
CGI;202203211950;0.0
CGI;202203212000;0.0
CGI;202203212010;0.0
CGI;202203212020;0.0
CGI;202203212030;0.0
CGI;202203212040;0.0
CGI;202203212050;0.0
CGI;202203212100;0.0
CGI;202203212110;0.0
CGI;202203212120;0.0
CGI;202203212130;0.0
CGI;202203212140;0.0
CGI;202203212150;0.0
CGI;202203212200;0.0
CGI;202203212210;0.0
CGI;202203212220;0.0
CGI;202203212230;0.0
CGI;202203212240;0.0
CGI;202203212250;0.0
CGI;202203212300;0.0
CGI;202203212310;0.0
CGI;202203212320;0.0
CGI;202203212330;0.0
CGI;202203212340;0.0
CGI;202203212350;0.0
CGI;202203220000;0.0
CGI;202203220010;0.0
CGI;202203220020;0.0
CGI;202203220030;0.0
CGI;202203220040;0.0
CGI;202203220050;0.0
CGI;202203220100;0.0
CGI;202203220110;0.0
CGI;202203220120;0.0
CGI;202203220130;0.0
CGI;202203220140;0.0
CGI;202203220150;0.0
CGI;202203220200;0.0
CGI;202203220210;0.0
CGI;202203220220;0.0
CGI;202203220230;0.0
CGI;202203220240;0.0
CGI;202203220250;0.0
CGI;202203220300;0.0
CGI;202203220310;0.0
CGI;202203220320;0.0
CGI;202203220330;0.0
CGI;202203220340;0.0
CGI;202203220350;0.0
CGI;202203220400;0.0
CGI;202203220410;0.0
CGI;202203220420;0.0
CGI;202203220430;0.0
CGI;202203220440;0.0
CGI;202203220450;0.0
CGI;202203220500;0.0
CGI;202203220510;0.0
CGI;202203220520;0.0
CGI;202203220530;0.0
CGI;202203220540;0.0
CGI;202203220550;0.0
CGI;202203220600;0.0
CGI;202203220610;0.0
CGI;202203220620;0.0
CGI;202203220630;0.0
CGI;202203220640;0.0
CGI;202203220650;0.0
CGI;202203220700;0.0
CGI;202203220710;0.0
CGI;202203220720;0.0
CGI;202203220730;0.0
CGI;202203220740;0.0
CGI;202203220750;0.0
CGI;202203220800;0.0
CGI;202203220810;0.0
CGI;202203220820;0.0
CGI;202203220830;0.0
CGI;202203220840;0.0
CGI;202203220850;0.0
CGI;202203220900;0.0
CGI;202203220910;0.0
CGI;202203220920;0.0
CGI;202203220930;0.0
CGI;202203220940;0.0
CGI;202203220950;0.0
CGI;202203221000;0.0
CGI;202203221010;0.0
CGI;202203221020;0.0
CGI;202203221030;0.0
CGI;202203221040;0.0
CGI;202203221050;0.0
CGI;202203221100;0.0
CGI;202203221110;0.0
CGI;202203221120;0.0
CGI;202203221130;0.0
CGI;202203221140;0.0
CGI;202203221150;0.0
CGI;202203221200;0.0
CGI;202203221210;0.0
CGI;202203221220;0.0
CGI;202203221230;0.0
CGI;202203221240;0.0
CGI;202203221250;0.0
CGI;202203221300;0.0
CGI;202203221310;0.0
CGI;202203221320;0.0
CGI;202203221330;0.0
CGI;202203221340;0.0
CGI;202203221350;0.0
CGI;202203221400;0.0
CGI;202203221410;0.0
CGI;202203221420;0.0
CGI;202203221430;0.0
CGI;202203221440;0.0
CGI;202203221450;0.0
CGI;202203221500;0.0
CGI;202203221510;0.0
CGI;202203221520;0.0
CGI;202203221530;0.0
CGI;202203221540;0.0
CGI;202203221550;0.0
CGI;202203221600;0.0
CGI;202203221610;0.0
CGI;202203221620;0.0
CGI;202203221630;0.0
CGI;202203221640;0.0
CGI;202203221650;0.0
CGI;202203221700;0.0
CGI;202203221710;0.0
CGI;202203221720;0.0
CGI;202203221730;0.0
CGI;202203221740;0.0
CGI;202203221750;0.0
CGI;202203221800;0.0
CGI;202203221810;0.0
CGI;202203221820;0.0
CGI;202203221830;0.0
CGI;202203221840;0.0
CGI;202203221850;0.0
CGI;202203221900;0.0
CGI;202203221910;0.0
CGI;202203221920;0.0
CGI;202203221930;0.0
CGI;202203221940;0.0
CGI;202203221950;0.0
CGI;202203222000;0.0
CGI;202203222010;0.0
CGI;202203222020;0.0
CGI;202203222030;0.0
CGI;202203222040;0.0
CGI;202203222050;0.0
CGI;202203222100;0.0
CGI;202203222110;0.0
CGI;202203222120;0.0
CGI;202203222130;0.0
CGI;202203222140;0.0
CGI;202203222150;0.0
CGI;202203222200;0.0
CGI;202203222210;0.0
CGI;202203222220;0.0
CGI;202203222230;0.0
CGI;202203222240;0.0
CGI;202203222250;0.0
CGI;202203222300;0.0
CGI;202203222310;0.0
CGI;202203222320;0.0
CGI;202203222330;0.0
CGI;202203222340;0.0
CGI;202203222350;0.0
CGI;202203230000;0.0
CGI;202203230010;0.0
CGI;202203230020;0.0
CGI;202203230030;0.0
CGI;202203230040;0.0
CGI;202203230050;0.0
CGI;202203230100;0.0
CGI;202203230110;0.0
CGI;202203230120;0.0
CGI;202203230130;0.0
CGI;202203230140;0.0
CGI;202203230150;0.0
CGI;202203230200;0.0
CGI;202203230210;0.0
CGI;202203230220;0.0
CGI;202203230230;0.0
CGI;202203230240;0.0
CGI;202203230250;0.0
CGI;202203230300;0.0
CGI;202203230310;0.0
CGI;202203230320;0.0
CGI;202203230330;0.0
CGI;202203230340;0.0
CGI;202203230350;0.0
CGI;202203230400;0.0
CGI;202203230410;0.0
CGI;202203230420;0.0
CGI;202203230430;0.0
CGI;202203230440;0.0
CGI;202203230450;0.0
CGI;202203230500;0.0
CGI;202203230510;0.0
CGI;202203230520;0.0
CGI;202203230530;0.0
CGI;202203230540;0.0
CGI;202203230550;0.0
CGI;202203230600;0.0
CGI;202203230610;0.0
CGI;202203230620;0.0
CGI;202203230630;0.0
CGI;202203230640;0.0
CGI;202203230650;0.0
CGI;202203230700;0.0
